Temperature,RH,Rain,FFMC,DMC,DC,ISI,FWI,Classes
29,57,0.0,65.7,3.4,7.6,1.3,0.5,0
29,61,1.3,64.4,4.1,7.6,1.0,0.4,0
26,82,13.1,47.1,2.5,7.1,0.3,0.1,0
25,89,2.5,28.6,1.3,6.9,0.0,0.0,0
27,77,0.0,64.8,3.0,14.2,1.2,0.5,0
31,67,0.0,82.6,5.8,22.2,3.1,2.5,1
33,54,0.0,88.2,9.9,30.5,6.4,7.2,1
30,73,0.0,86.6,12.1,38.3,5.6,7.1,1
25,88,0.2,52.9,7.9,38.8,0.4,0.3,0
28,79,0.0,73.2,9.5,46.3,1.3,0.9,0
31,65,0.0,84.5,12.5,54.3,4.0,5.6,1
26,81,0.0,84.0,13.8,61.4,4.8,7.1,1
27,84,1.2,50.0,6.7,17.0,0.5,0.2,0
30,78,0.5,59.0,4.6,7.8,1.0,0.4,0
28,80,3.1,49.4,3.0,7.4,0.4,0.1,0
29,89,0.7,36.1,1.7,7.6,0.0,0.0,0
30,89,0.6,37.3,1.1,7.8,0.0,0.0,0
31,78,0.3,56.9,1.9,8.0,0.7,0.2,0
31,55,0.1,79.9,4.5,16.0,2.5,1.4,0
30,80,0.4,59.8,3.4,27.1,0.9,0.4,0
30,78,0.0,81.0,6.3,31.6,2.6,2.2,1
31,67,0.1,79.1,7.0,39.5,2.4,2.3,0
32,62,0.1,81.4,8.2,47.7,3.3,3.8,1
32,66,0.0,85.9,11.2,55.8,5.6,7.5,1
31,64,0.0,86.7,14.2,63.8,5.7,8.4,1
31,64,0.0,86.8,17.8,71.8,6.7,10.6,1
34,53,0.0,89.0,21.6,80.3,9.2,15.0,1
32,55,0.0,89.1,25.5,88.5,7.6,13.9,1
32,47,0.3,79.9,18.4,84.4,2.2,3.9,0
33,50,0.0,88.7,22.9,92.8,7.2,12.9,1
29,68,1.0,59.9,2.5,8.6,1.1,0.4,0
27,75,1.2,55.7,2.4,8.3,0.8,0.3,0
32,76,0.7,63.1,2.6,9.2,1.3,0.5,0
33,78,0.0,80.1,4.6,18.5,2.7,1.7,0
33,66,0.0,85.9,7.6,27.9,4.8,4.9,1
32,63,0.0,87.0,10.9,37.0,5.6,6.8,1
35,64,0.2,80.0,9.7,40.4,2.8,3.2,0
33,68,0.0,85.6,12.5,49.8,6.0,8.0,1
32,68,1.4,66.6,7.7,9.2,1.1,0.6,0
33,69,0.7,66.6,6.0,9.3,1.1,0.5,0
33,76,0.0,81.1,8.1,18.7,2.6,2.2,0
31,75,0.1,75.1,7.9,27.7,1.5,0.9,0
34,81,0.0,81.8,9.7,37.2,3.0,3.4,0
34,61,0.6,73.9,7.8,22.9,1.4,0.8,0
30,80,0.4,60.7,5.2,17.0,1.1,0.5,0
28,76,0.0,72.6,7.0,25.5,0.7,0.4,0
29,70,0.0,82.8,9.4,34.1,3.2,3.6,1
31,68,0.0,85.4,12.1,43.1,4.6,6.0,1
35,59,0.0,88.1,12.0,52.8,7.7,10.9,1
33,65,0.1,81.4,12.3,62.1,2.8,4.0,1
33,70,0.0,85.4,18.5,71.5,5.2,8.8,1
28,79,0.1,73.4,16.4,79.9,1.8,2.8,0
27,66,0.4,68.2,10.5,71.3,1.8,2.1,0
28,78,0.1,70.0,9.6,79.7,1.4,1.3,0
31,65,0.0,84.3,12.5,88.7,4.8,7.3,1
36,53,0.0,89.2,17.1,98.6,10.0,15.3,1
36,48,0.0,90.3,22.2,108.5,8.7,15.3,1
33,76,0.0,86.5,24.4,117.8,5.6,11.3,1
32,73,0.0,86.6,26.7,127.0,5.6,11.9,1
31,79,0.0,85.4,28.5,136.0,4.7,10.7,1
35,64,0.0,87.2,31.9,145.7,6.8,15.7,1
36,45,0.0,78.8,4.8,10.2,2.0,0.9,0
35,55,0.4,78.0,5.8,10.0,1.7,0.8,0
35,63,0.3,76.6,5.7,10.0,1.7,0.8,0
34,69,0.0,85.0,8.2,19.8,4.0,3.9,1
34,65,0.0,86.8,11.1,29.7,5.2,6.1,1
32,75,0.0,86.4,13.0,39.1,5.2,6.8,1
32,69,0.0,86.5,15.5,48.6,5.5,8.0,1
32,60,0.3,77.1,11.3,47.0,2.2,2.6,0
35,59,0.0,87.4,14.8,57.0,6.9,9.9,1
35,55,0.0,88.9,18.6,67.0,7.4,11.6,1
35,63,0.0,88.9,21.7,77.0,7.1,12.1,1
35,51,0.3,81.3,15.6,75.1,2.5,4.2,0
35,63,0.0,87.0,19.0,85.1,5.9,10.2,1
33,66,0.0,87.0,21.7,94.7,5.7,10.6,1
36,55,0.3,82.4,15.6,92.5,3.7,6.3,1
36,61,0.3,80.2,11.7,90.4,2.8,4.2,1
37,52,0.0,89.3,16.0,100.7,9.7,14.6,1
36,54,0.0,89.4,20.0,110.9,9.7,16.1,1
35,62,0.0,89.4,23.2,120.9,9.7,17.2,1
35,68,0.0,88.3,25.9,130.6,8.8,16.8,1
36,58,0.0,88.6,29.6,141.1,9.2,18.4,1
36,55,0.0,89.1,33.5,151.3,9.9,20.4,1
36,53,0.0,89.5,37.6,161.5,10.4,22.3,1
34,64,0.0,88.9,40.5,171.3,9.0,20.9,1
35,60,0.0,88.9,43.9,181.3,8.2,20.3,1
31,78,0.0,85.8,45.6,190.6,4.7,13.7,1
33,82,0.0,84.9,47.0,200.2,4.4,13.2,1
34,64,0.0,89.4,50.2,210.4,7.3,19.9,1
35,48,0.0,90.1,54.2,220.4,12.5,30.2,1
35,70,0.8,72.7,25.2,180.4,1.7,4.2,0
28,80,16.8,52.5,8.7,8.7,0.6,0.3,0
25,76,7.2,46.0,1.3,7.5,0.2,0.1,0
22,86,10.1,30.5,0.7,7.0,0.0,0.0,0
25,78,3.8,42.6,1.2,7.5,0.1,0.0,0
