iter	Passed	Remaining
0	2	2924
1	5	2919
2	8	2925
3	11	2922
4	14	2979
5	17	2921
6	20	2896
7	23	2880
8	26	2899
9	29	2886
10	31	2873
11	34	2847
12	37	2836
13	39	2789
14	42	2784
15	45	2775
16	47	2742
17	50	2741
18	52	2736
19	55	2726
20	58	2718
21	60	2697
22	63	2681
23	65	2682
24	68	2669
25	70	2658
26	73	2643
27	76	2639
28	78	2635
29	81	2643
30	84	2639
31	87	2635
32	89	2633
33	92	2621
34	95	2625
35	98	2649
36	101	2646
37	104	2656
38	107	2649
39	110	2641
40	112	2636
41	115	2630
42	117	2620
43	120	2610
44	123	2615
45	126	2613
46	128	2606
47	130	2580
48	132	2570
49	134	2562
50	137	2554
51	139	2548
52	142	2543
53	145	2546
54	148	2558
55	151	2550
56	154	2548
57	156	2547
58	160	2553
59	162	2549
60	165	2544
61	167	2531
62	169	2526
63	172	2520
64	175	2519
65	177	2517
66	180	2512
67	183	2508
68	185	2502
69	187	2485
70	189	2482
71	192	2480
72	195	2480
73	197	2475
74	200	2473
75	203	2471
76	205	2468
77	207	2457
78	210	2454
79	213	2458
80	216	2459
81	219	2456
82	221	2452
83	225	2455
84	227	2452
85	230	2446
86	232	2441
87	235	2439
88	238	2442
89	241	2438
90	243	2435
91	246	2430
92	248	2422
93	251	2419
94	253	2419
95	256	2417
96	259	2416
97	262	2416
98	265	2411
99	267	2411
100	270	2410
101	273	2408
102	276	2407
103	279	2404
104	281	2398
105	284	2397
106	286	2394
107	288	2384
108	291	2383
109	294	2384
110	298	2387
111	300	2385
112	303	2383
113	306	2379
114	309	2378
115	311	2374
116	314	2372
117	317	2369
118	319	2368
119	322	2364
120	325	2361
121	328	2363
122	331	2363
123	334	2362
124	336	2357
125	339	2354
126	341	2349
127	343	2338
128	345	2335
129	347	2327
130	349	2318
131	351	2314
132	355	2318
133	358	2317
134	361	2317
135	364	2315
136	367	2315
137	370	2312
138	372	2309
139	375	2305
140	378	2303
141	380	2301
142	384	2305
143	388	2306
144	391	2306
145	393	2301
146	396	2299
147	399	2301
148	402	2298
149	405	2296
150	408	2296
151	411	2295
152	414	2294
153	417	2291
154	419	2289
155	422	2286
156	426	2287
157	428	2285
158	431	2282
159	434	2280
160	436	2276
161	439	2274
162	442	2273
163	445	2270
164	448	2268
165	450	2264
166	453	2261
167	456	2259
168	458	2256
169	461	2251
170	464	2251
171	467	2252
172	470	2249
173	473	2246
174	476	2244
175	478	2240
176	481	2238
177	484	2236
178	487	2235
179	490	2233
180	493	2231
181	495	2229
182	498	2226
183	501	2224
184	504	2221
185	506	2218
186	509	2215
187	512	2214
188	514	2209
189	517	2206
190	520	2202
191	522	2197
192	524	2193
193	527	2190
194	530	2188
195	532	2183
196	534	2180
197	537	2178
198	540	2176
199	543	2173
200	546	2171
201	549	2170
202	552	2167
203	554	2163
204	557	2160
205	559	2157
206	562	2155
207	565	2151
208	567	2148
209	570	2147
210	573	2145
211	576	2142
212	578	2139
213	581	2137
214	584	2133
215	587	2130
216	590	2129
217	591	2122
218	594	2120
219	597	2117
220	599	2114
221	602	2112
222	605	2108
223	606	2101
224	609	2100
225	612	2097
226	615	2094
227	617	2091
228	620	2088
229	622	2084
230	625	2082
231	628	2079
232	631	2077
233	634	2076
234	636	2071
235	639	2070
236	642	2067
237	644	2063
238	647	2061
239	650	2059
240	653	2056
241	655	2054
242	658	2052
243	661	2050
244	664	2047
245	665	2041
246	668	2038
247	671	2036
248	674	2033
249	677	2031
250	680	2029
251	682	2026
252	685	2024
253	688	2021
254	690	2017
255	693	2015
256	696	2013
257	699	2010
258	701	2007
259	704	2005
260	707	2003
261	710	2000
262	712	1997
263	715	1994
264	718	1991
265	721	1990
266	723	1987
267	726	1984
268	729	1982
269	731	1978
270	734	1976
271	737	1974
272	740	1973
273	743	1971
274	746	1968
275	749	1967
276	752	1964
277	755	1961
278	757	1958
279	760	1956
280	763	1953
281	766	1951
282	769	1948
283	772	1946
284	774	1944
285	777	1940
286	780	1938
287	783	1935
288	785	1932
289	787	1928
290	790	1926
291	794	1925
292	797	1923
293	799	1920
294	802	1917
295	804	1914
296	807	1910
297	810	1909
298	813	1907
299	816	1904
300	819	1903
301	822	1901
302	825	1898
303	827	1895
304	830	1893
305	833	1890
306	836	1888
307	839	1887
308	843	1885
309	846	1883
310	849	1881
311	852	1879
312	855	1877
313	859	1876
314	861	1874
315	865	1873
316	867	1869
317	870	1867
318	873	1864
