iter	RMSE
0	786608.3828
1	754475.9968
2	739184.309433	711485.087844	685791.208855	661261.045566	637193.396577	613718.948688	592244.805899	574073.5769110	555662.661111	520944.649112	503766.2559113	488537.4316114	473585.3032115	460992.5946116	447947.0241117	436357.4884118	425267.6261919	414613.3552020	405141.8314
21	395636.3322	22	386616.6223	23	377930.8824	24	369913.6125	25	362728.7318
26	355621.5696
27	348870.6276
28	342561.6747
29	336474.9116
30	330639.9295331	324979.8614332	319913.5473
33	314590.9981
34	309927.8843
35	305383.1908
36	301304.5806
37	297174.2617
38	293398.6507
39	290583.225
40	287281.0711
41	284134.1996
42	280874.9389
43	277709.17
44	274604.0108
45	272285.0728
46	269927.9794
47	267595.1583
48	265538.1203
49	263455.5656
50	261023.1657
51	259125.4247
52	257658.2027
53	255818.0232
54	254527.9065
55	252432.3681
56	250530.9186
57	249031.2583
58	247617.6191
59	245580.603
60	244241.5167
61	242965.4659
62	241689.2529
63	239868.7944
64	238376.7869
65	237295.8676
66	235756.1752
67	234659.4342
68	233837.8983
69	233047.2133
70	232102.0097
71	231323.1423
72	229756.3827
73	228997.2676
74	227564.3649
75	226995.0848
76	226283.9492
77	225612.3611
78	224969.8612
79	224321.0537
80	223638.581
81	222571.9142
82	221865.9336
83	221177.52
84	220326.8345
85	219187.268
86	219106.4099
87	218720.3598
88	218162.5513
89	218083.6279
90	217356.6045
91	216857.706
92	215995.9108
93	215055.7956
94	214350.5491
95	213776.2657
96	213365.7482
97	212734.6206
98	212252.8333
99	211929.1195
100	211163.5152
101	210689.8261
102	210007.3096
103	209566.8659
104	208776.8417
105	208381.7082
106	207926.1092
107	207190.5558
108	206748.8467
109	206103.1325
110	205431.3243
11	208487112	213690.0192
113	213212.538
114	212442.1525
115	212066.6873
116	211803.3119
117	211627.5022
118	211449.1133
119	210861.1732
120	210138.6548
121	209280.7249
122	209109.1974
123	208300.3176
124	208211.9031
125	208098.1071
126	207387.6145
127	207184.3185
128	206522.1798
129	206001.811
130	205722.7258
131	204927.2369
132	204478.0417
133	204016.0479
134	203919.5322
135	203636.7607
136	203534.0549
137	203439.8012
138	203302.0627
139	203150.9873
140	202999.0463
141	202310.6416
142	202216.5127
143	20147143	194144	200942.4373
145	200147.8799
146	199734.8485
147	199492.4145
148	199367.258
149	198997.7872
150	198908.6937
151	198632.2931
152	197911.5992
153	197319.7579
154	196611.688
155	196327.0752
156	196055.3266
157	195384.3186
158	195297.0232
159	195117.9686
160	195034.160	1161	194480.8986
162	194386.7666
163	193762.7336
164	193485.1988
165	193125.8982
166	193019166	18167	192641167	1168	192351.6193
169	192222.169	170	191841.9678
171	191752.3886
172	191442.9915
173	191248.7287
174	190827.3413
175	190766.7885
176	190341.8933
177	189911.1595
178	189550.8677
179	189213.2504
180	189127.5369
181	188955.6844
182	188842.8114
183	188584.479
184	18851184	181185	18828185	181186	187804.7769
187	187747.6999
188	187456.4558
189	187218.8716
190	187078.1646
191	187022.4307
192	186654.8841
193	186577.4897
194	186107.4798
195	185848.4359
196	185416.4916
197	185086.2976
