iter	Passed	Remaining
0	201	201335
1	215	107593
2	230	76488
3	239	59614
4	247	49209
5	255	42284
6	261	37147
7	271	33619
8	278	30621
9	285	28291
10	291	26242
11	301	24782
12	304	23129
13	313	22084
14	320	21062
15	326	20106
16	333	19285
17	340	18567
18	346	17910
19	353	17320
20	360	16791
21	366	16303
22	372	15836
23	378	15398
24	385	15024
25	391	14668
26	399	14387
27	406	14116
28	413	13850
29	420	13595
30	427	13347
31	434	13129
32	440	12912
33	447	12719
34	454	12537
35	461	12361
36	468	12201
37	475	12028
38	482	11879
39	488	11731
40	494	11577
41	502	11455
42	508	11319
43	515	11204
44	522	11094
45	530	10995
46	537	10894
47	545	10815
48	552	10714
49	560	10640
50	567	10562
51	574	10478
52	582	10401
53	588	10315
54	598	10280
55	606	10225
56	614	10171
57	621	10095
58	630	10050
59	637	9984
60	644	9924
61	652	9871
62	660	9818
63	667	9758
64	675	9723
65	683	9670
66	691	9625
67	698	9571
68	705	9520
69	712	9470
70	720	9425
71	727	9371
72	734	9320
73	742	9287
74	749	9241
75	757	9211
76	766	9187
77	774	9155
78	781	9111
79	789	9075
80	798	9057
81	807	9043
82	815	9010
83	824	8992
84	831	8954
85	840	8936
86	848	8900
87	855	8870
88	862	8830
89	870	8799
90	876	8758
91	883	8723
92	890	8686
93	897	8650
94	903	8610
95	910	8577
96	917	8544
97	924	8509
98	931	8475
99	937	8440
100	944	8405
101	950	8370
102	957	8338
103	964	8311
104	971	8284
105	978	8250
106	985	8221
107	991	8189
108	997	8156
109	1004	8124
110	1011	8100
7821112	989	77671113	996	77411114	1002	77111115	1008	76811116	1014	76511117	1020	76211118	1026	76011119	1033	75712120	1038	75412121	1044	75112122	1051	74912123	1056	74612124	1061	74212125	1067	74012126	1073	73812127	1079	73512128	1085	73312129	1091	73013130	1097	72713131	1102	72513132	1108	72213133	1113	71913134	1118	71613135	1124	71413136	1129	71113137	1135	70913138	1140	70613139	1146	70414140	1151	70114141	1156	69814142	1161	696143	1162	6909
14144	1172	69114145	1178	68914146	1183	68614147	1189	68414148	1194	68214149	1200	68015150	1205	67715151	1211	67515152	1217	67315153	1223	67215154	1229	67015155	1234	66815156	1240	66615157	1247	66415158	1253	66215159	1258	660160	1260	6567
16161	1270	65716162	1276	65516163	1283	65416164	1288	65116165	1293	650166	1294	6457
167	1300	6438
16168	1311	644169	1312	6405
17170	1323	64117171	1328	63917172	1334	63817173	1341	63617174	1346	63417175	1352	63317176	1358	63117177	1363	62917178	1369	62817179	1375	62618180	1380	62418181	1387	62318182	1393	62218183	1399	620184	1400	6168
185	1405	6153
2
186	1416	6159
187	1422	6144
188	1428	6129
189	1433	6112
190	1439	6095
191	1444	6077
192	1449	6062
193	1455	6048
194	1461	6032
195	1466	6016
196	1471	5999
197	1477	5985
